n,QS_v1_Comparaciones,QS_v1_Intercambios,QS_v2_Comparaciones,QS_v2_Intercambios
1,0,0,0,0
2,1,2,2,3
4,6,9,6,7
8,28,35,17,16
16,120,135,46,37
32,496,527,119,86
64,2016,2079,296,199
128,8128,8255,713,456
256,32640,32895,1674,1033
512,130816,131327,3851,2314
1024,523776,524799,8716,5131
